trial,elapsed_s,rmse,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2
60,24.03,488.8984153578489,0.20386129410948597,248,3,9,0.9052600077172476,0.6724674704988577,6,0.00030599274883420747,0.0034766685101198075
61,24.47,492.52904686105194,0.21308774213942488,240,3,6,0.8842248836454538,0.6181435674234589,7,0.0005185187085491044,0.003373195394209421
62,24.6,487.3617362907283,0.23496217927490978,237,4,8,0.859195931684237,0.6275155752496243,7,0.00041770906122261454,0.006046552103838712
63,24.81,492.7377289693559,0.16573515111316245,236,4,12,0.8529263956710207,0.6754430185744349,6,0.0002775296902625575,0.003574520067635644
64,24.99,509.89080864997777,0.25436779036165424,237,4,5,0.8678124415784687,0.6275835795660756,7,0.000523017433475081,0.0042363125492747
65,25.27,500.88928096139205,0.27094467105282255,240,3,12,0.8479179899475109,0.6468544091069728,6,0.0003086033450707649,0.0037637886431602916
66,25.65,493.5127069273552,0.21227149733553055,236,4,5,0.8396391131469223,0.6434621437581762,6,0.0002641728413721813,0.005681071337022286
67,25.78,484.5404741161736,0.19939544746614113,225,3,13,0.9063864271477899,0.6414439346768122,6,0.00033204434532355017,0.007717981083527308
68,25.93,483.272303759902,0.1982990909374295,225,3,12,0.8949829885213527,0.6655894264395863,6,0.00041957743312428717,0.0057650000291559235
69,26.14,476.0711975356571,0.20158494601703794,241,3,8,0.8598139497233546,0.645449677617819,7,0.0003880510298350348,0.008346911968684183
70,26.39,504.23423263120276,0.19913777689099463,221,4,10,0.9121595822703008,0.656638610533264,6,0.00041429436817776323,0.004158581877064316
71,26.87,488.0382168338574,0.18833701782737491,226,3,9,0.8644099924429841,0.6571791306230398,6,0.0004862928665280178,0.005584395035494414
72,27.06,497.49556799016926,0.2042652131739291,239,3,7,0.8819151693313193,0.6511687478561988,6,0.00044721647671270946,0.00496058844778984
73,27.22,456.8114925554275,0.21363742859495966,230,3,5,0.8541954452957086,0.6432940719775833,6,0.00035924799583240844,0.005342631202523143
74,27.38,481.5888850133436,0.18818836842545236,232,3,6,0.8768477643336929,0.6478165363009969,6,0.0004334342576490871,0.004914697725619455
75,27.49,462.62660989517565,0.22144355721194015,229,3,5,0.8794456230400599,0.645971132982222,6,0.0004326498132557077,0.004680647444723174
76,27.87,478.317189420102,0.23401403791811848,221,3,5,0.8350403171602621,0.6444247530134641,6,0.00047723479938988257,0.0051508792466042185
77,28.07,478.336547040716,0.19450319755646822,227,3,6,0.8669256876305405,0.6364631631764942,6,0.0003091725828188195,0.005638172714349553
78,28.2,488.4235240151813,0.2370067842448968,231,3,6,0.8389569437057315,0.6334976800861141,6,0.0004743118420739606,0.006865514159764941
79,28.46,482.0941807840885,0.19870334942533913,222,3,5,0.8671828783035904,0.6563361847000775,7,0.0004751510321190064,0.006107805477661934
80,28.6,496.0543844605477,0.23311189423010273,227,3,5,0.8366458626234696,0.6351419297031001,7,0.00026331596309357686,0.006366876773078777
81,28.99,481.45782982258515,0.21253560624798826,227,3,7,0.867527693808632,0.639686691722981,7,0.00040650676009949116,0.007132071008828239
82,29.2,492.4311174973427,0.21471593041653408,234,4,5,0.8544405954565248,0.6491790380970328,6,0.000526259843839759,0.00830822453842587
83,29.41,482.9454359060625,0.2174671872010175,221,3,6,0.8494709921576232,0.6503799630064957,6,0.00022176892935032148,0.0060785169761649
84,29.54,485.61300324242865,0.21084003484457584,226,3,7,0.8340524068361608,0.6495715789769382,6,0.0004559881752220864,0.004313750465973505
85,29.71,477.05048561095947,0.21264819885994268,224,3,6,0.8376687874080653,0.6478840442642076,7,0.0005322847393290651,0.004093442529912419
86,30.16,482.1920365341681,0.2094409885102923,234,3,5,0.8446263947668495,0.6449025181591902,6,0.00040667789285285424,0.005778374948086712
87,30.46,491.9231406823748,0.20748545048255063,228,3,5,0.8620843780415216,0.6515566226178163,6,0.0003399262870129016,0.005277844660562184
88,30.6,469.0314939408371,0.22054050109229467,229,3,5,0.8664433532583424,0.6464830327327626,6,0.0003260269104882339,0.005370186563135357
89,30.75,496.60792010186543,0.21167198615190916,232,3,5,0.8469662031387863,0.6393184209357936,6,0.00036349781766023667,0.004663842716920584
90,30.89,495.777224840685,0.2149781324521965,228,3,5,0.852876514134953,0.6395371444219227,6,0.0003620387103404251,0.005475970089233096
